"Date","All","Women","Men","Black","Hispanic","White","Black Women","Black Men","Hispanic Women","Hispanic Men","White Women","White Men"
"Sep-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.1%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Aug-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Jul-2024","0.6%","0.6%","0.7%","1.1%","0.7%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"Jun-2024","0.6%","0.6%","0.7%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.6%"
"May-2024","0.6%","0.5%","0.7%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Apr-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Mar-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Feb-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Jan-2024","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Dec-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.2%","0.6%","0.6%","0.4%","0.5%"
"Nov-2023","0.6%","0.5%","0.6%","1.0%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Oct-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Sep-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Aug-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.0%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Jul-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.4%"
"Jun-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"May-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.0%","0.6%","0.6%","0.4%","0.5%"
"Apr-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Mar-2023","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.1%","1.1%","0.6%","0.6%","0.4%","0.5%"
"Feb-2023","0.6%","0.6%","0.6%","1.1%","0.6%","0.5%","1.1%","1.1%","0.6%","0.7%","0.4%","0.5%"
"Jan-2023","0.6%","0.6%","0.7%","1.2%","0.7%","0.5%","1.2%","1.1%","0.7%","0.7%","0.4%","0.5%"
"Dec-2022","0.7%","0.6%","0.7%","1.2%","0.7%","0.5%","1.3%","1.2%","0.7%","0.7%","0.5%","0.6%"
"Nov-2022","0.7%","0.7%","0.7%","1.3%","0.8%","0.5%","1.4%","1.3%","0.8%","0.7%","0.5%","0.6%"
"Oct-2022","0.7%","0.7%","0.8%","1.4%","0.8%","0.6%","1.4%","1.4%","0.8%","0.8%","0.5%","0.6%"
"Sep-2022","0.8%","0.8%","0.8%","1.5%","0.9%","0.6%","1.5%","1.5%","0.9%","0.8%","0.6%","0.7%"
"Aug-2022","0.9%","0.8%","0.9%","1.6%","0.9%","0.7%","1.5%","1.7%","1.0%","0.9%","0.6%","0.7%"
"Jul-2022","1.0%","0.9%","1.0%","1.7%","1.0%","0.8%","1.6%","1.8%","1.1%","1.0%","0.7%","0.8%"
"Jun-2022","1.1%","1.0%","1.1%","1.9%","1.1%","0.9%","1.8%","2.0%","1.2%","1.1%","0.8%","0.9%"
"May-2022","1.2%","1.1%","1.2%","2.1%","1.3%","1.0%","1.9%","2.3%","1.4%","1.2%","0.9%","1.0%"
"Apr-2022","1.3%","1.3%","1.4%","2.2%","1.4%","1.0%","2.1%","2.4%","1.5%","1.4%","1.0%","1.1%"
"Mar-2022","1.4%","1.4%","1.5%","2.4%","1.6%","1.1%","2.2%","2.6%","1.7%","1.5%","1.1%","1.2%"
"Feb-2022","1.6%","1.5%","1.6%","2.6%","1.8%","1.2%","2.4%","2.9%","1.9%","1.7%","1.2%","1.3%"
"Jan-2022","1.7%","1.6%","1.7%","2.8%","1.9%","1.3%","2.6%","3.1%","2.0%","1.8%","1.2%","1.4%"
"Dec-2021","1.8%","1.7%","1.9%","2.9%","2.0%","1.4%","2.6%","3.2%","2.2%","1.9%","1.3%","1.5%"
"Nov-2021","1.9%","1.8%","1.9%","3.0%","2.2%","1.5%","2.7%","3.3%","2.3%","2.1%","1.4%","1.6%"
"Oct-2021","2.0%","1.9%","2.0%","3.1%","2.3%","1.6%","2.8%","3.5%","2.4%","2.2%","1.5%","1.7%"
"Sep-2021","2.0%","1.9%","2.1%","3.2%","2.4%","1.6%","2.9%","3.5%","2.6%","2.2%","1.5%","1.7%"
"Aug-2021","2.0%","1.9%","2.1%","3.1%","2.4%","1.6%","2.8%","3.4%","2.5%","2.3%","1.5%","1.7%"
"Jul-2021","1.9%","1.9%","2.0%","3.0%","2.3%","1.5%","2.7%","3.3%","2.5%","2.2%","1.4%","1.6%"
"Jun-2021","1.8%","1.8%","1.9%","2.8%","2.3%","1.4%","2.6%","3.1%","2.4%","2.1%","1.4%","1.5%"
"May-2021","1.7%","1.7%","1.8%","2.6%","2.1%","1.3%","2.4%","2.9%","2.2%","2.0%","1.3%","1.4%"
"Apr-2021","1.6%","1.5%","1.6%","2.5%","2.0%","1.2%","2.3%","2.7%","2.1%","1.9%","1.2%","1.3%"
"Mar-2021","1.5%","1.4%","1.5%","2.3%","1.8%","1.1%","2.1%","2.5%","1.9%","1.7%","1.1%","1.2%"
"Feb-2021","1.3%","1.3%","1.3%","2.1%","1.6%","1.0%","1.9%","2.3%","1.7%","1.5%","1.0%","1.1%"
"Jan-2021","1.2%","1.1%","1.2%","1.8%","1.4%","0.9%","1.7%","2.0%","1.5%","1.3%","0.8%","1.0%"
"Dec-2020","1.0%","1.0%","1.1%","1.7%","1.3%","0.8%","1.5%","1.9%","1.4%","1.2%","0.7%","0.9%"
"Nov-2020","0.9%","0.9%","0.9%","1.5%","1.1%","0.7%","1.4%","1.6%","1.2%","1.0%","0.6%","0.8%"
"Oct-2020","0.8%","0.7%","0.8%","1.3%","0.9%","0.6%","1.2%","1.4%","1.0%","0.8%","0.5%","0.7%"
"Sep-2020","0.7%","0.6%","0.7%","1.1%","0.8%","0.5%","1.0%","1.2%","0.8%","0.7%","0.4%","0.6%"
"Aug-2020","0.6%","0.6%","0.6%","1.1%","0.7%","0.5%","1.0%","1.2%","0.8%","0.6%","0.4%","0.5%"
"Jul-2020","0.6%","0.6%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.6%","0.4%","0.5%"
"Jun-2020","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.6%","0.5%","0.4%","0.5%"
"May-2020","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.5%","0.4%","0.5%"
"Apr-2020","0.6%","0.5%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.5%","0.4%","0.6%"
"Mar-2020","0.6%","0.6%","0.6%","1.1%","0.6%","0.5%","1.0%","1.2%","0.7%","0.5%","0.4%","0.6%"
"Feb-2020","0.6%","0.6%","0.6%","1.2%","0.6%","0.5%","1.1%","1.2%","0.7%","0.5%","0.4%","0.6%"
"Jan-2020","0.6%","0.6%","0.6%","1.2%","0.6%","0.5%","1.1%","1.3%","0.6%","0.5%","0.4%","0.6%"
"Dec-2019","0.6%","0.6%","0.6%","1.2%","0.6%","0.5%","1.1%","1.3%","0.6%","0.5%","0.5%","0.6%"
"Nov-2019","0.6%","0.6%","0.6%","1.2%","0.6%","0.5%","1.1%","1.3%","0.6%","0.5%","0.5%","0.6%"
"Oct-2019","0.6%","0.6%","0.7%","1.2%","0.6%","0.5%","1.2%","1.3%","0.6%","0.6%","0.5%","0.6%"
"Sep-2019","0.6%","0.6%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Aug-2019","0.6%","0.6%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Jul-2019","0.7%","0.6%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Jun-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.7%","0.6%","0.5%","0.6%"
"May-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Apr-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.5%","1.2%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Mar-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.6%","1.3%","1.3%","0.6%","0.6%","0.5%","0.6%"
"Feb-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.6%","1.3%","1.4%","0.6%","0.6%","0.5%","0.6%"
"Jan-2019","0.7%","0.7%","0.7%","1.3%","0.6%","0.6%","1.3%","1.4%","0.7%","0.6%","0.5%","0.6%"
"Dec-2018","0.7%","0.7%","0.7%","1.4%","0.6%","0.6%","1.3%","1.4%","0.7%","0.6%","0.5%","0.6%"
"Nov-2018","0.7%","0.7%","0.7%","1.4%","0.7%","0.6%","1.3%","1.5%","0.8%","0.6%","0.5%","0.6%"
"Oct-2018","0.7%","0.7%","0.7%","1.4%","0.7%","0.6%","1.4%","1.5%","0.8%","0.6%","0.5%","0.6%"
"Sep-2018","0.7%","0.7%","0.7%","1.5%","0.7%","0.6%","1.4%","1.5%","0.8%","0.6%","0.5%","0.6%"
"Aug-2018","0.7%","0.7%","0.7%","1.5%","0.7%","0.6%","1.4%","1.6%","0.9%","0.6%","0.5%","0.6%"
"Jul-2018","0.7%","0.7%","0.8%","1.5%","0.7%","0.6%","1.5%","1.6%","0.9%","0.6%","0.5%","0.6%"
"Jun-2018","0.8%","0.8%","0.8%","1.5%","0.7%","0.6%","1.5%","1.6%","0.9%","0.6%","0.5%","0.7%"
"May-2018","0.8%","0.8%","0.8%","1.6%","0.7%","0.6%","1.5%","1.6%","0.9%","0.6%","0.6%","0.7%"
"Apr-2018","0.8%","0.8%","0.8%","1.6%","0.8%","0.6%","1.6%","1.6%","0.9%","0.6%","0.6%","0.7%"
"Mar-2018","0.8%","0.8%","0.8%","1.6%","0.8%","0.6%","1.6%","1.6%","1.0%","0.6%","0.6%","0.7%"
"Feb-2018","0.8%","0.8%","0.8%","1.6%","0.8%","0.7%","1.6%","1.7%","1.0%","0.7%","0.6%","0.7%"
"Jan-2018","0.8%","0.9%","0.8%","1.7%","0.8%","0.7%","1.6%","1.7%","1.0%","0.7%","0.6%","0.7%"
"Dec-2017","0.9%","0.9%","0.9%","1.7%","0.8%","0.7%","1.6%","1.7%","1.0%","0.7%","0.6%","0.8%"
"Nov-2017","0.9%","0.9%","0.9%","1.7%","0.8%","0.7%","1.7%","1.7%","1.0%","0.7%","0.7%","0.8%"
"Oct-2017","0.9%","0.9%","0.9%","1.7%","0.9%","0.7%","1.7%","1.6%","1.1%","0.7%","0.7%","0.8%"
"Sep-2017","0.9%","0.9%","0.9%","1.7%","0.9%","0.8%","1.7%","1.6%","1.1%","0.8%","0.7%","0.8%"
"Aug-2017","0.9%","0.9%","0.9%","1.7%","0.9%","0.8%","1.8%","1.6%","1.1%","0.8%","0.7%","0.8%"
"Jul-2017","0.9%","0.9%","0.9%","1.7%","1.0%","0.8%","1.8%","1.6%","1.1%","0.8%","0.7%","0.8%"
"Jun-2017","0.9%","0.9%","0.9%","1.7%","1.0%","0.8%","1.8%","1.6%","1.1%","0.8%","0.7%","0.9%"
"May-2017","1.0%","1.0%","1.0%","1.7%","1.0%","0.8%","1.8%","1.6%","1.2%","0.9%","0.7%","0.9%"
"Apr-2017","1.0%","1.0%","1.0%","1.8%","1.0%","0.8%","1.9%","1.7%","1.2%","0.8%","0.7%","0.9%"
"Mar-2017","1.0%","1.0%","1.0%","1.8%","1.0%","0.8%","1.9%","1.8%","1.2%","0.9%","0.7%","0.9%"
"Feb-2017","1.0%","1.0%","1.0%","1.9%","1.0%","0.8%","1.9%","1.9%","1.2%","0.9%","0.7%","0.9%"
"Jan-2017","1.0%","1.0%","1.0%","1.9%","1.0%","0.8%","1.9%","2.0%","1.2%","0.9%","0.7%","0.9%"
"Dec-2016","1.0%","1.0%","1.1%","2.0%","1.0%","0.8%","2.0%","2.1%","1.2%","0.9%","0.7%","0.9%"
"Nov-2016","1.0%","1.0%","1.1%","2.0%","1.0%","0.8%","2.0%","2.1%","1.2%","0.9%","0.7%","0.9%"
"Oct-2016","1.0%","1.0%","1.1%","2.1%","1.0%","0.8%","2.0%","2.2%","1.2%","0.9%","0.7%","0.9%"
"Sep-2016","1.0%","1.0%","1.1%","2.1%","1.0%","0.8%","2.0%","2.3%","1.2%","0.9%","0.7%","0.9%"
"Aug-2016","1.1%","1.0%","1.1%","2.1%","1.0%","0.8%","2.0%","2.3%","1.2%","0.9%","0.7%","1.0%"
"Jul-2016","1.1%","1.0%","1.1%","2.2%","1.1%","0.8%","2.0%","2.5%","1.2%","0.9%","0.7%","1.0%"
"Jun-2016","1.1%","1.0%","1.1%","2.3%","1.1%","0.8%","2.0%","2.5%","1.3%","0.9%","0.7%","0.9%"
"May-2016","1.1%","1.0%","1.1%","2.3%","1.1%","0.8%","2.0%","2.6%","1.2%","0.9%","0.7%","0.9%"
"Apr-2016","1.1%","1.0%","1.2%","2.3%","1.1%","0.9%","2.1%","2.7%","1.3%","1.0%","0.7%","1.0%"
"Mar-2016","1.1%","1.0%","1.2%","2.4%","1.1%","0.9%","2.1%","2.7%","1.3%","1.0%","0.7%","1.0%"
"Feb-2016","1.1%","1.0%","1.2%","2.5%","1.2%","0.9%","2.2%","2.8%","1.4%","1.0%","0.8%","1.0%"
"Jan-2016","1.2%","1.1%","1.2%","2.5%","1.2%","0.9%","2.2%","2.8%","1.4%","1.1%","0.8%","1.0%"
"Dec-2015","1.2%","1.1%","1.2%","2.5%","1.3%","0.9%","2.2%","2.8%","1.5%","1.1%","0.8%","1.0%"
"Nov-2015","1.2%","1.2%","1.3%","2.6%","1.3%","0.9%","2.3%","2.9%","1.5%","1.1%","0.9%","1.0%"
"Oct-2015","1.2%","1.2%","1.3%","2.6%","1.3%","1.0%","2.4%","2.9%","1.5%","1.1%","0.9%","1.0%"
"Sep-2015","1.3%","1.2%","1.3%","2.7%","1.3%","1.0%","2.4%","3.0%","1.6%","1.1%","0.9%","1.0%"
"Aug-2015","1.3%","1.3%","1.3%","2.8%","1.3%","1.0%","2.5%","3.1%","1.6%","1.1%","1.0%","1.1%"
"Jul-2015","1.3%","1.3%","1.4%","2.8%","1.4%","1.0%","2.6%","3.1%","1.7%","1.2%","1.0%","1.1%"
"Jun-2015","1.4%","1.4%","1.4%","2.9%","1.4%","1.1%","2.7%","3.2%","1.7%","1.2%","1.1%","1.1%"
"May-2015","1.4%","1.4%","1.4%","3.0%","1.5%","1.1%","2.8%","3.2%","1.8%","1.2%","1.1%","1.2%"
"Apr-2015","1.5%","1.5%","1.5%","3.1%","1.5%","1.2%","2.9%","3.3%","1.9%","1.3%","1.1%","1.2%"
"Mar-2015","1.5%","1.5%","1.5%","3.2%","1.6%","1.2%","3.0%","3.4%","1.9%","1.3%","1.2%","1.2%"
"Feb-2015","1.6%","1.6%","1.6%","3.3%","1.6%","1.2%","3.1%","3.5%","1.9%","1.4%","1.2%","1.3%"
"Jan-2015","1.6%","1.6%","1.6%","3.4%","1.7%","1.3%","3.2%","3.6%","2.0%","1.4%","1.2%","1.3%"
"Dec-2014","1.7%","1.6%","1.7%","3.5%","1.7%","1.3%","3.2%","3.8%","2.1%","1.5%","1.2%","1.3%"
"Nov-2014","1.7%","1.7%","1.7%","3.6%","1.8%","1.3%","3.3%","3.9%","2.1%","1.6%","1.3%","1.4%"
"Oct-2014","1.8%","1.7%","1.8%","3.7%","1.9%","1.4%","3.4%","4.0%","2.2%","1.7%","1.3%","1.4%"
"Sep-2014","1.8%","1.8%","1.8%","3.8%","2.0%","1.4%","3.6%","4.0%","2.2%","1.8%","1.3%","1.5%"
"Aug-2014","1.9%","1.8%","1.9%","3.8%","2.1%","1.5%","3.6%","4.1%","2.3%","1.9%","1.4%","1.5%"
"Jul-2014","1.9%","1.9%","2.0%","3.9%","2.1%","1.5%","3.7%","4.2%","2.4%","2.0%","1.4%","1.6%"
"Jun-2014","2.0%","1.9%","2.0%","4.0%","2.2%","1.6%","3.8%","4.2%","2.4%","2.0%","1.4%","1.7%"
"May-2014","2.0%","2.0%","2.1%","4.1%","2.3%","1.6%","3.9%","4.3%","2.5%","2.1%","1.5%","1.7%"
"Apr-2014","2.1%","2.0%","2.1%","4.1%","2.3%","1.6%","3.9%","4.4%","2.5%","2.1%","1.5%","1.8%"
"Mar-2014","2.1%","2.0%","2.2%","4.2%","2.3%","1.7%","3.9%","4.5%","2.5%","2.2%","1.5%","1.8%"
"Feb-2014","2.1%","2.1%","2.2%","4.2%","2.4%","1.7%","3.9%","4.5%","2.6%","2.2%","1.6%","1.8%"
"Jan-2014","2.2%","2.1%","2.2%","4.2%","2.4%","1.8%","4.0%","4.5%","2.6%","2.3%","1.6%","1.9%"
"Dec-2013","2.2%","2.2%","2.3%","4.3%","2.4%","1.8%","4.1%","4.5%","2.7%","2.3%","1.7%","1.9%"
"Nov-2013","2.3%","2.2%","2.3%","4.3%","2.5%","1.8%","4.2%","4.5%","2.7%","2.3%","1.7%","2.0%"
"Oct-2013","2.3%","2.3%","2.3%","4.3%","2.6%","1.9%","4.2%","4.6%","2.8%","2.4%","1.7%","2.0%"
"Sep-2013","2.3%","2.3%","2.4%","4.4%","2.6%","1.9%","4.1%","4.7%","2.9%","2.4%","1.8%","2.0%"
"Aug-2013","2.4%","2.3%","2.4%","4.5%","2.7%","1.9%","4.2%","4.8%","3.0%","2.5%","1.8%","2.0%"
"Jul-2013","2.4%","2.4%","2.4%","4.6%","2.7%","2.0%","4.3%","4.9%","3.0%","2.5%","1.9%","2.0%"
"Jun-2013","2.5%","2.4%","2.5%","4.7%","2.8%","2.0%","4.4%","5.0%","3.1%","2.5%","1.9%","2.1%"
"May-2013","2.5%","2.5%","2.5%","4.7%","2.8%","2.0%","4.4%","5.1%","3.1%","2.6%","1.9%","2.1%"
"Apr-2013","2.6%","2.5%","2.6%","4.8%","2.9%","2.1%","4.5%","5.1%","3.2%","2.7%","2.0%","2.1%"
"Mar-2013","2.6%","2.6%","2.6%","4.8%","2.9%","2.1%","4.5%","5.2%","3.3%","2.7%","2.0%","2.2%"
"Feb-2013","2.6%","2.6%","2.6%","4.9%","3.0%","2.1%","4.5%","5.3%","3.3%","2.7%","2.1%","2.2%"
"Jan-2013","2.7%","2.6%","2.7%","4.9%","3.0%","2.2%","4.5%","5.4%","3.4%","2.7%","2.1%","2.2%"
"Dec-2012","2.7%","2.7%","2.7%","5.0%","3.1%","2.2%","4.6%","5.5%","3.4%","2.8%","2.1%","2.3%"
"Nov-2012","2.7%","2.7%","2.7%","5.1%","3.1%","2.2%","4.7%","5.6%","3.5%","2.9%","2.2%","2.3%"
"Oct-2012","2.8%","2.8%","2.8%","5.2%","3.2%","2.3%","4.9%","5.7%","3.5%","2.9%","2.2%","2.3%"
"Sep-2012","2.8%","2.8%","2.8%","5.3%","3.2%","2.3%","5.0%","5.7%","3.5%","2.9%","2.2%","2.4%"
"Aug-2012","2.9%","2.9%","2.9%","5.4%","3.2%","2.3%","5.1%","5.8%","3.5%","3.0%","2.2%","2.4%"
"Jul-2012","2.9%","2.9%","3.0%","5.5%","3.2%","2.4%","5.2%","5.9%","3.6%","3.0%","2.3%","2.5%"
"Jun-2012","3.0%","2.9%","3.0%","5.6%","3.3%","2.4%","5.3%","6.0%","3.6%","3.0%","2.3%","2.5%"
"May-2012","3.0%","3.0%","3.1%","5.7%","3.3%","2.5%","5.4%","6.1%","3.7%","3.0%","2.3%","2.6%"
"Apr-2012","3.1%","3.0%","3.1%","5.8%","3.3%","2.5%","5.4%","6.3%","3.7%","3.1%","2.3%","2.6%"
"Mar-2012","3.1%","3.0%","3.2%","5.9%","3.4%","2.5%","5.4%","6.4%","3.8%","3.2%","2.4%","2.7%"
"Feb-2012","3.1%","3.0%","3.2%","5.9%","3.5%","2.5%","5.4%","6.6%","3.8%","3.2%","2.4%","2.7%"
"Jan-2012","3.2%","3.0%","3.3%","6.0%","3.5%","2.6%","5.4%","6.7%","3.8%","3.3%","2.4%","2.8%"
"Dec-2011","3.2%","3.0%","3.4%","6.1%","3.5%","2.6%","5.4%","6.8%","3.8%","3.4%","2.4%","2.8%"
"Nov-2011","3.2%","3.0%","3.4%","6.1%","3.6%","2.6%","5.4%","6.9%","3.8%","3.4%","2.4%","2.9%"
"Oct-2011","3.3%","3.1%","3.5%","6.1%","3.6%","2.7%","5.3%","7.0%","3.9%","3.4%","2.4%","2.9%"
"Sep-2011","3.3%","3.1%","3.5%","6.1%","3.7%","2.7%","5.3%","7.0%","3.9%","3.5%","2.4%","2.9%"
"Aug-2011","3.3%","3.0%","3.5%","6.1%","3.7%","2.7%","5.2%","7.0%","3.9%","3.6%","2.4%","3.0%"
"Jul-2011","3.3%","3.0%","3.6%","6.0%","3.7%","2.7%","5.2%","7.0%","3.9%","3.6%","2.4%","3.0%"
"Jun-2011","3.3%","3.0%","3.6%","6.0%","3.8%","2.7%","5.1%","6.9%","3.9%","3.7%","2.4%","3.0%"
"May-2011","3.3%","3.0%","3.6%","5.9%","3.8%","2.8%","5.0%","6.9%","3.9%","3.7%","2.4%","3.1%"
"Apr-2011","3.3%","3.0%","3.6%","5.9%","3.8%","2.8%","5.0%","7.0%","3.9%","3.7%","2.4%","3.1%"
"Mar-2011","3.4%","3.0%","3.7%","5.9%","3.9%","2.8%","5.0%","7.0%","3.9%","3.8%","2.4%","3.2%"
"Feb-2011","3.4%","3.0%","3.7%","5.9%","3.9%","2.9%","5.1%","6.9%","3.9%","3.9%","2.5%","3.2%"
"Jan-2011","3.4%","3.0%","3.8%","5.9%","3.9%","2.9%","5.0%","7.0%","3.9%","3.9%","2.5%","3.3%"
"Dec-2010","3.4%","3.0%","3.8%","5.9%","3.9%","2.9%","5.0%","7.0%","3.8%","3.9%","2.5%","3.3%"
"Nov-2010","3.4%","3.0%","3.8%","5.9%","3.8%","2.9%","5.0%","6.9%","3.8%","3.9%","2.4%","3.3%"
"Oct-2010","3.4%","2.9%","3.8%","5.8%","3.8%","2.9%","4.9%","6.9%","3.8%","3.9%","2.4%","3.3%"
"Sep-2010","3.4%","2.9%","3.8%","5.8%","3.8%","2.9%","4.8%","6.8%","3.7%","3.8%","2.4%","3.3%"
"Aug-2010","3.3%","2.9%","3.7%","5.7%","3.7%","2.8%","4.8%","6.7%","3.7%","3.7%","2.4%","3.3%"
"Jul-2010","3.3%","2.8%","3.7%","5.6%","3.7%","2.8%","4.6%","6.7%","3.6%","3.7%","2.3%","3.2%"
"Jun-2010","3.2%","2.7%","3.6%","5.5%","3.6%","2.7%","4.5%","6.7%","3.5%","3.6%","2.3%","3.1%"
"May-2010","3.1%","2.7%","3.5%","5.4%","3.4%","2.6%","4.4%","6.5%","3.4%","3.5%","2.2%","3.0%"
"Apr-2010","3.0%","2.5%","3.3%","5.2%","3.3%","2.5%","4.3%","6.3%","3.3%","3.3%","2.1%","2.9%"
"Mar-2010","2.8%","2.4%","3.2%","5.0%","3.1%","2.4%","4.1%","6.1%","3.1%","3.1%","2.0%","2.8%"
"Feb-2010","2.7%","2.3%","3.0%","4.8%","3.0%","2.3%","3.9%","5.9%","3.0%","2.9%","1.9%","2.6%"
"Jan-2010","2.5%","2.2%","2.8%","4.6%","2.8%","2.1%","3.7%","5.5%","2.9%","2.7%","1.8%","2.4%"
"Dec-2009","2.3%","2.1%","2.6%","4.3%","2.6%","2.0%","3.5%","5.2%","2.8%","2.5%","1.7%","2.2%"
"Nov-2009","2.2%","1.9%","2.4%","4.0%","2.4%","1.8%","3.2%","4.9%","2.6%","2.3%","1.6%","2.1%"
"Oct-2009","2.0%","1.8%","2.2%","3.8%","2.2%","1.7%","3.0%","4.7%","2.4%","2.1%","1.5%","1.9%"
"Sep-2009","1.9%","1.7%","2.1%","3.6%","2.1%","1.6%","2.8%","4.5%","2.2%","2.0%","1.4%","1.7%"
"Aug-2009","1.7%","1.5%","1.9%","3.3%","1.9%","1.4%","2.6%","4.2%","2.1%","1.8%","1.2%","1.6%"
