"Date","All","Women","Men","Black","Hispanic","White","Black Women","Black Men","Hispanic Women","Hispanic Men","White Women","White Men"
"Jul-2009","1.6%","1.4%","1.7%","3.1%","1.7%","1.3%","2.4%","3.9%","1.9%","1.6%","1.1%","1.4%"
"Jun-2009","1.4%","1.3%","1.5%","2.9%","1.5%","1.2%","2.2%","3.6%","1.7%","1.4%","1.1%","1.3%"
"May-2009","1.3%","1.2%","1.4%","2.7%","1.4%","1.1%","2.1%","3.4%","1.6%","1.3%","1.0%","1.1%"
"Apr-2009","1.2%","1.1%","1.3%","2.5%","1.3%","1.0%","2.0%","3.1%","1.5%","1.2%","0.9%","1.0%"
"Mar-2009","1.1%","1.0%","1.2%","2.3%","1.2%","0.9%","1.9%","2.8%","1.4%","1.1%","0.8%","0.9%"
"Feb-2009","1.0%","1.0%","1.1%","2.2%","1.1%","0.8%","1.8%","2.6%","1.3%","1.0%","0.8%","0.8%"
"Jan-2009","0.9%","0.9%","1.0%","2.0%","1.0%","0.7%","1.7%","2.4%","1.2%","0.9%","0.7%","0.8%"
"Dec-2008","0.9%","0.8%","0.9%","1.9%","1.0%","0.7%","1.6%","2.3%","1.1%","0.9%","0.7%","0.7%"
"Nov-2008","0.8%","0.8%","0.9%","1.8%","0.9%","0.7%","1.6%","2.1%","1.1%","0.8%","0.6%","0.7%"
"Oct-2008","0.8%","0.8%","0.8%","1.7%","0.9%","0.6%","1.6%","1.9%","1.0%","0.8%","0.6%","0.7%"
"Sep-2008","0.8%","0.7%","0.8%","1.6%","0.8%","0.6%","1.5%","1.8%","1.0%","0.7%","0.6%","0.6%"
"Aug-2008","0.7%","0.7%","0.7%","1.6%","0.8%","0.6%","1.4%","1.7%","0.9%","0.7%","0.5%","0.6%"
"Jul-2008","0.7%","0.7%","0.7%","1.5%","0.7%","0.5%","1.4%","1.6%","0.9%","0.6%","0.5%","0.6%"
"Jun-2008","0.7%","0.7%","0.7%","1.5%","0.7%","0.5%","1.3%","1.6%","0.8%","0.6%","0.5%","0.6%"
"May-2008","0.7%","0.6%","0.7%","1.4%","0.7%","0.5%","1.3%","1.5%","0.8%","0.6%","0.5%","0.6%"
"Apr-2008","0.6%","0.6%","0.7%","1.4%","0.7%","0.5%","1.2%","1.5%","0.8%","0.6%","0.5%","0.6%"
"Mar-2008","0.6%","0.6%","0.7%","1.4%","0.6%","0.5%","1.2%","1.5%","0.8%","0.5%","0.5%","0.6%"
"Feb-2008","0.6%","0.6%","0.7%","1.4%","0.6%","0.5%","1.2%","1.5%","0.8%","0.5%","0.5%","0.5%"
"Jan-2008","0.6%","0.6%","0.7%","1.4%","0.6%","0.5%","1.2%","1.5%","0.8%","0.6%","0.5%","0.5%"
"Dec-2007","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Nov-2007","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Oct-2007","0.6%","0.6%","0.6%","1.3%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Sep-2007","0.6%","0.6%","0.6%","1.3%","0.6%","0.5%","1.1%","1.5%","0.7%","0.5%","0.4%","0.5%"
"Aug-2007","0.6%","0.6%","0.6%","1.3%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Jul-2007","0.6%","0.6%","0.6%","1.3%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Jun-2007","0.6%","0.6%","0.6%","1.3%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.4%","0.5%"
"May-2007","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.2%","1.5%","0.7%","0.5%","0.4%","0.5%"
"Apr-2007","0.6%","0.6%","0.6%","1.4%","0.5%","0.5%","1.3%","1.5%","0.6%","0.5%","0.5%","0.5%"
"Mar-2007","0.6%","0.6%","0.6%","1.4%","0.5%","0.5%","1.3%","1.4%","0.6%","0.5%","0.5%","0.5%"
"Feb-2007","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.3%","1.4%","0.7%","0.5%","0.5%","0.5%"
"Jan-2007","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.3%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Dec-2006","0.6%","0.6%","0.6%","1.4%","0.6%","0.5%","1.3%","1.5%","0.7%","0.5%","0.5%","0.5%"
"Nov-2006","0.6%","0.6%","0.7%","1.5%","0.6%","0.5%","1.4%","1.5%","0.7%","0.5%","0.5%","0.6%"
"Oct-2006","0.7%","0.6%","0.7%","1.5%","0.6%","0.5%","1.4%","1.6%","0.7%","0.5%","0.5%","0.6%"
"Sep-2006","0.7%","0.7%","0.7%","1.6%","0.6%","0.5%","1.5%","1.7%","0.7%","0.5%","0.5%","0.6%"
"Aug-2006","0.7%","0.7%","0.7%","1.6%","0.6%","0.5%","1.5%","1.7%","0.8%","0.5%","0.5%","0.6%"
"Jul-2006","0.7%","0.7%","0.7%","1.7%","0.6%","0.5%","1.6%","1.8%","0.8%","0.5%","0.5%","0.6%"
"Jun-2006","0.7%","0.7%","0.7%","1.7%","0.6%","0.5%","1.6%","1.8%","0.8%","0.5%","0.5%","0.6%"
"May-2006","0.7%","0.7%","0.7%","1.7%","0.7%","0.6%","1.6%","1.8%","0.8%","0.5%","0.5%","0.6%"
"Apr-2006","0.7%","0.7%","0.7%","1.7%","0.7%","0.6%","1.6%","1.8%","0.9%","0.6%","0.5%","0.6%"
"Mar-2006","0.7%","0.7%","0.7%","1.7%","0.7%","0.6%","1.6%","1.8%","0.9%","0.6%","0.5%","0.6%"
"Feb-2006","0.8%","0.7%","0.8%","1.7%","0.7%","0.6%","1.7%","1.9%","0.9%","0.6%","0.5%","0.6%"
"Jan-2006","0.8%","0.7%","0.8%","1.8%","0.7%","0.6%","1.7%","1.9%","0.9%","0.6%","0.5%","0.6%"
"Dec-2005","0.8%","0.8%","0.8%","1.8%","0.7%","0.6%","1.8%","1.9%","0.9%","0.6%","0.5%","0.7%"
"Nov-2005","0.8%","0.8%","0.8%","1.9%","0.7%","0.6%","1.8%","2.0%","0.9%","0.6%","0.6%","0.7%"
"Oct-2005","0.8%","0.8%","0.8%","1.9%","0.7%","0.6%","1.8%","2.0%","0.9%","0.6%","0.6%","0.7%"
"Sep-2005","0.8%","0.8%","0.8%","1.9%","0.7%","0.6%","1.8%","2.1%","0.9%","0.6%","0.6%","0.7%"
"Aug-2005","0.8%","0.8%","0.9%","1.9%","0.7%","0.6%","1.8%","2.1%","0.9%","0.6%","0.6%","0.7%"
"Jul-2005","0.8%","0.8%","0.9%","2.0%","0.7%","0.7%","1.8%","2.1%","0.9%","0.6%","0.6%","0.7%"
"Jun-2005","0.9%","0.8%","0.9%","2.0%","0.7%","0.7%","1.8%","2.2%","0.9%","0.6%","0.6%","0.7%"
"May-2005","0.9%","0.8%","0.9%","2.0%","0.8%","0.7%","1.8%","2.3%","1.0%","0.7%","0.6%","0.8%"
"Apr-2005","0.9%","0.8%","0.9%","2.0%","0.8%","0.7%","1.8%","2.3%","1.0%","0.7%","0.6%","0.8%"
"Mar-2005","0.9%","0.8%","1.0%","2.0%","0.8%","0.7%","1.8%","2.2%","1.0%","0.7%","0.6%","0.8%"
"Feb-2005","0.9%","0.9%","1.0%","2.0%","0.9%","0.7%","1.9%","2.2%","1.1%","0.8%","0.6%","0.8%"
"Jan-2005","0.9%","0.9%","1.0%","2.0%","0.9%","0.7%","1.9%","2.2%","1.1%","0.8%","0.6%","0.8%"
"Dec-2004","1.0%","0.9%","1.0%","2.0%","1.0%","0.8%","1.9%","2.2%","1.2%","0.8%","0.7%","0.9%"
"Nov-2004","1.0%","0.9%","1.0%","2.0%","1.0%","0.8%","1.8%","2.2%","1.2%","0.8%","0.7%","0.9%"
"Oct-2004","1.0%","0.9%","1.0%","2.0%","1.0%","0.8%","1.8%","2.2%","1.3%","0.9%","0.7%","0.9%"
"Sep-2004","1.0%","0.9%","1.1%","2.0%","1.0%","0.8%","1.8%","2.2%","1.3%","0.9%","0.7%","0.9%"
"Aug-2004","1.0%","0.9%","1.1%","2.0%","1.1%","0.8%","1.9%","2.2%","1.3%","0.9%","0.7%","0.9%"
"Jul-2004","1.0%","1.0%","1.1%","2.0%","1.1%","0.8%","1.9%","2.2%","1.3%","0.9%","0.7%","0.9%"
"Jun-2004","1.1%","1.0%","1.1%","2.0%","1.1%","0.9%","1.9%","2.1%","1.4%","0.9%","0.7%","1.0%"
"May-2004","1.1%","1.0%","1.1%","2.0%","1.1%","0.9%","1.9%","2.1%","1.3%","0.9%","0.7%","1.0%"
"Apr-2004","1.1%","1.0%","1.1%","2.0%","1.0%","0.9%","1.9%","2.2%","1.3%","0.9%","0.7%","1.0%"
"Mar-2004","1.1%","1.0%","1.2%","2.1%","1.0%","0.9%","1.9%","2.3%","1.3%","0.8%","0.7%","1.0%"
"Feb-2004","1.1%","1.0%","1.2%","2.1%","1.0%","0.9%","1.9%","2.4%","1.3%","0.8%","0.7%","1.0%"
"Jan-2004","1.1%","1.0%","1.2%","2.1%","1.0%","0.9%","1.9%","2.4%","1.2%","0.8%","0.7%","1.0%"
"Dec-2003","1.1%","1.0%","1.2%","2.2%","1.0%","0.9%","1.9%","2.5%","1.2%","0.8%","0.7%","1.0%"
"Nov-2003","1.1%","1.0%","1.2%","2.1%","1.0%","0.9%","1.9%","2.5%","1.3%","0.8%","0.7%","1.0%"
"Oct-2003","1.1%","1.0%","1.2%","2.1%","0.9%","0.9%","1.9%","2.5%","1.2%","0.7%","0.7%","1.0%"
"Sep-2003","1.0%","0.9%","1.1%","2.1%","0.9%","0.9%","1.8%","2.4%","1.2%","0.7%","0.7%","1.0%"
"Aug-2003","1.0%","0.9%","1.1%","2.0%","0.9%","0.9%","1.8%","2.3%","1.2%","0.8%","0.7%","1.0%"
"Jul-2003","1.0%","0.9%","1.1%","2.0%","0.9%","0.8%","1.8%","2.2%","1.1%","0.8%","0.7%","1.0%"
"Jun-2003","1.0%","0.9%","1.1%","2.0%","0.9%","0.8%","1.7%","2.2%","1.1%","0.7%","0.7%","0.9%"
"May-2003","1.0%","0.9%","1.0%","1.9%","0.9%","0.8%","1.7%","2.2%","1.1%","0.7%","0.7%","0.9%"
"Apr-2003","1.0%","0.9%","1.0%","1.9%","0.9%","0.8%","1.8%","2.1%","1.1%","0.7%","0.7%","0.9%"
"Mar-2003","0.9%","0.9%","1.0%","1.9%","0.9%","0.8%","1.8%","2.0%","1.1%","0.7%","0.7%","0.9%"
"Feb-2003","0.9%","0.9%","1.0%","1.8%","0.8%","0.8%","1.7%","1.9%","1.1%","0.7%","0.7%","0.9%"
"Jan-2003","0.9%","0.8%","0.9%","1.7%","0.8%","0.7%","1.7%","1.8%","1.1%","0.7%","0.6%","0.8%"
"Dec-2002","0.9%","0.8%","0.9%","1.6%","0.8%","0.7%","1.6%","1.7%","1.0%","0.7%","0.6%","0.8%"
"Nov-2002","0.8%","0.8%","0.8%","1.6%","0.8%","0.7%","1.5%","1.6%","1.0%","0.7%","0.6%","0.8%"
"Oct-2002","0.8%","0.7%","0.8%","1.5%","0.8%","0.7%","1.5%","1.5%","0.9%","0.6%","0.6%","0.7%"
"Sep-2002","0.7%","0.7%","0.8%","1.4%","0.7%","0.6%","1.4%","1.4%","0.9%","0.6%","0.5%","0.7%"
"Aug-2002","0.7%","0.7%","0.7%","1.4%","0.7%","0.6%","1.4%","1.4%","0.9%","0.6%","0.5%","0.7%"
"Jul-2002","0.7%","0.6%","0.7%","1.4%","0.7%","0.6%","1.3%","1.4%","0.8%","0.5%","0.5%","0.6%"
"Jun-2002","0.6%","0.6%","0.7%","1.3%","0.6%","0.5%","1.3%","1.3%","0.8%","0.5%","0.4%","0.6%"
"May-2002","0.6%","0.6%","0.6%","1.2%","0.6%","0.5%","1.2%","1.3%","0.7%","0.5%","0.4%","0.5%"
"Apr-2002","0.5%","0.5%","0.6%","1.1%","0.6%","0.4%","1.1%","1.2%","0.7%","0.5%","0.4%","0.5%"
"Mar-2002","0.5%","0.5%","0.5%","1.1%","0.5%","0.4%","1.0%","1.1%","0.7%","0.4%","0.4%","0.5%"
"Feb-2002","0.5%","0.4%","0.5%","1.0%","0.5%","0.4%","0.9%","1.1%","0.6%","0.4%","0.3%","0.4%"
"Jan-2002","0.4%","0.4%","0.5%","1.0%","0.5%","0.3%","0.9%","1.1%","0.6%","0.4%","0.3%","0.4%"
"Dec-2001","0.4%","0.4%","0.4%","1.0%","0.5%","0.3%","0.9%","1.0%","0.6%","0.4%","0.3%","0.4%"
"Nov-2001","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.9%","1.0%","0.6%","0.4%","0.3%","0.3%"
"Oct-2001","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.8%","0.9%","0.6%","0.4%","0.3%","0.3%"
"Sep-2001","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.8%","1.0%","0.6%","0.4%","0.3%","0.3%"
"Aug-2001","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.8%","1.0%","0.6%","0.3%","0.2%","0.3%"
"Jul-2001","0.4%","0.4%","0.4%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.3%","0.2%","0.3%"
"Jun-2001","0.4%","0.4%","0.4%","0.8%","0.5%","0.3%","0.7%","1.0%","0.7%","0.3%","0.2%","0.3%"
"May-2001","0.3%","0.4%","0.3%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.3%","0.2%","0.3%"
"Apr-2001","0.3%","0.4%","0.3%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.3%","0.2%","0.3%"
"Mar-2001","0.3%","0.4%","0.3%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.3%","0.2%","0.3%"
"Feb-2001","0.3%","0.3%","0.3%","0.7%","0.5%","0.3%","0.6%","0.9%","0.7%","0.3%","0.2%","0.3%"
"Jan-2001","0.3%","0.3%","0.3%","0.7%","0.5%","0.3%","0.6%","0.8%","0.7%","0.4%","0.2%","0.3%"
"Dec-2000","0.3%","0.3%","0.3%","0.7%","0.5%","0.3%","0.6%","0.9%","0.7%","0.4%","0.2%","0.3%"
"Nov-2000","0.4%","0.4%","0.3%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.4%","0.2%","0.3%"
"Oct-2000","0.4%","0.4%","0.4%","0.8%","0.5%","0.3%","0.7%","0.9%","0.7%","0.4%","0.2%","0.3%"
"Sep-2000","0.4%","0.4%","0.4%","0.8%","0.5%","0.3%","0.7%","0.9%","0.6%","0.4%","0.2%","0.3%"
"Aug-2000","0.4%","0.4%","0.4%","0.8%","0.5%","0.3%","0.8%","0.9%","0.6%","0.4%","0.2%","0.3%"
"Jul-2000","0.4%","0.3%","0.4%","0.8%","0.5%","0.3%","0.8%","0.9%","0.6%","0.4%","0.2%","0.3%"
"Jun-2000","0.4%","0.3%","0.4%","0.8%","0.5%","0.3%","0.8%","0.9%","0.6%","0.4%","0.2%","0.3%"
"May-2000","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.8%","0.9%","0.6%","0.5%","0.2%","0.3%"
"Apr-2000","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.8%","1.0%","0.6%","0.5%","0.2%","0.3%"
"Mar-2000","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.9%","1.0%","0.6%","0.5%","0.2%","0.3%"
"Feb-2000","0.4%","0.4%","0.4%","1.0%","0.5%","0.3%","0.9%","1.0%","0.7%","0.5%","0.2%","0.3%"
"Jan-2000","0.4%","0.4%","0.4%","1.0%","0.5%","0.3%","0.9%","1.0%","0.7%","0.4%","0.3%","0.3%"
"Dec-1999","0.4%","0.4%","0.4%","1.0%","0.5%","0.3%","0.9%","1.0%","0.7%","0.4%","0.3%","0.3%"
"Nov-1999","0.4%","0.4%","0.4%","0.9%","0.5%","0.3%","0.9%","1.0%","0.7%","0.4%","0.3%","0.3%"
"Oct-1999","0.4%","0.4%","0.4%","1.0%","0.6%","0.3%","0.9%","1.0%","0.7%","0.4%","0.3%","0.3%"
"Sep-1999","0.4%","0.4%","0.4%","1.0%","0.6%","0.3%","1.0%","1.0%","0.8%","0.4%","0.3%","0.3%"
"Aug-1999","0.4%","0.4%","0.4%","1.0%","0.6%","0.3%","1.0%","1.1%","0.8%","0.5%","0.3%","0.3%"
"Jul-1999","0.4%","0.4%","0.4%","1.1%","0.6%","0.3%","1.0%","1.1%","0.8%","0.5%","0.3%","0.3%"
"Jun-1999","0.4%","0.4%","0.4%","1.1%","0.6%","0.3%","1.0%","1.1%","0.8%","0.5%","0.3%","0.3%"
"May-1999","0.4%","0.4%","0.4%","1.1%","0.6%","0.3%","1.0%","1.1%","0.8%","0.5%","0.3%","0.3%"
"Apr-1999","0.4%","0.4%","0.4%","1.1%","0.6%","0.3%","1.1%","1.1%","0.8%","0.5%","0.3%","0.3%"
"Mar-1999","0.5%","0.4%","0.5%","1.1%","0.6%","0.3%","1.1%","1.1%","0.8%","0.5%","0.3%","0.3%"
"Feb-1999","0.5%","0.4%","0.5%","1.2%","0.7%","0.3%","1.1%","1.2%","0.8%","0.5%","0.3%","0.4%"
"Jan-1999","0.5%","0.5%","0.5%","1.2%","0.7%","0.3%","1.2%","1.2%","0.9%","0.6%","0.3%","0.4%"
"Dec-1998","0.5%","0.5%","0.5%","1.2%","0.7%","0.3%","1.2%","1.2%","0.9%","0.6%","0.3%","0.4%"
"Nov-1998","0.5%","0.5%","0.5%","1.2%","0.7%","0.3%","1.2%","1.2%","0.9%","0.6%","0.3%","0.4%"
"Oct-1998","0.5%","0.5%","0.5%","1.2%","0.7%","0.3%","1.3%","1.2%","0.9%","0.7%","0.3%","0.4%"
"Sep-1998","0.5%","0.5%","0.5%","1.2%","0.8%","0.3%","1.3%","1.2%","0.9%","0.7%","0.3%","0.4%"
"Aug-1998","0.5%","0.5%","0.5%","1.2%","0.8%","0.4%","1.3%","1.2%","0.9%","0.7%","0.3%","0.4%"
"Jul-1998","0.5%","0.5%","0.6%","1.3%","0.8%","0.4%","1.3%","1.2%","1.0%","0.7%","0.3%","0.4%"
"Jun-1998","0.5%","0.5%","0.6%","1.3%","0.8%","0.4%","1.3%","1.2%","1.0%","0.7%","0.3%","0.4%"
"May-1998","0.6%","0.5%","0.6%","1.3%","0.8%","0.4%","1.4%","1.2%","1.0%","0.7%","0.3%","0.5%"
"Apr-1998","0.6%","0.5%","0.6%","1.3%","0.9%","0.4%","1.3%","1.3%","1.1%","0.8%","0.3%","0.5%"
"Mar-1998","0.6%","0.5%","0.6%","1.3%","0.9%","0.4%","1.3%","1.3%","1.1%","0.8%","0.3%","0.5%"
"Feb-1998","0.6%","0.5%","0.6%","1.3%","0.9%","0.4%","1.3%","1.4%","1.1%","0.8%","0.3%","0.5%"
"Jan-1998","0.6%","0.6%","0.6%","1.4%","0.9%","0.4%","1.3%","1.4%","1.1%","0.8%","0.3%","0.5%"
"Dec-1997","0.6%","0.6%","0.6%","1.4%","1.0%","0.4%","1.4%","1.4%","1.1%","0.9%","0.4%","0.5%"
"Nov-1997","0.6%","0.6%","0.6%","1.4%","1.0%","0.4%","1.4%","1.5%","1.1%","0.8%","0.4%","0.5%"
"Oct-1997","0.6%","0.6%","0.6%","1.5%","1.0%","0.4%","1.4%","1.5%","1.1%","0.8%","0.4%","0.5%"
"Sep-1997","0.6%","0.6%","0.6%","1.5%","1.0%","0.4%","1.4%","1.5%","1.2%","0.8%","0.4%","0.5%"
"Aug-1997","0.6%","0.6%","0.7%","1.5%","1.0%","0.4%","1.4%","1.5%","1.2%","0.9%","0.4%","0.5%"
"Jul-1997","0.6%","0.6%","0.7%","1.5%","1.0%","0.4%","1.5%","1.5%","1.2%","0.9%","0.4%","0.5%"
"Jun-1997","0.7%","0.6%","0.7%","1.5%","1.1%","0.4%","1.5%","1.6%","1.3%","1.0%","0.4%","0.5%"
"May-1997","0.7%","0.6%","0.7%","1.6%","1.1%","0.5%","1.6%","1.6%","1.3%","1.0%","0.4%","0.5%"
"Apr-1997","0.7%","0.7%","0.7%","1.6%","1.2%","0.5%","1.6%","1.6%","1.3%","1.1%","0.4%","0.5%"
"Mar-1997","0.7%","0.7%","0.7%","1.6%","1.2%","0.5%","1.6%","1.6%","1.3%","1.1%","0.4%","0.6%"
"Feb-1997","0.7%","0.7%","0.8%","1.6%","1.2%","0.5%","1.6%","1.6%","1.4%","1.1%","0.4%","0.6%"
"Jan-1997","0.7%","0.7%","0.8%","1.6%","1.2%","0.5%","1.6%","1.6%","1.4%","1.2%","0.5%","0.6%"
"Dec-1996","0.7%","0.7%","0.8%","1.6%","1.3%","0.5%","1.6%","1.6%","1.4%","1.2%","0.5%","0.6%"
"Nov-1996","0.7%","0.7%","0.8%","1.5%","1.3%","0.5%","1.5%","1.6%","1.4%","1.2%","0.5%","0.6%"
"Oct-1996","0.7%","0.7%","0.8%","1.6%","1.3%","0.5%","1.5%","1.6%","1.4%","1.2%","0.5%","0.6%"
"Sep-1996","0.8%","0.7%","0.8%","1.6%","1.3%","0.6%","1.5%","1.6%","1.4%","1.2%","0.5%","0.6%"
"Aug-1996","0.8%","0.7%","0.8%","1.6%","1.3%","0.6%","1.5%","1.6%","1.3%","1.3%","0.5%","0.6%"
"Jul-1996","0.8%","0.7%","0.8%","1.6%","1.3%","0.6%","1.5%","1.7%","1.3%","1.2%","0.5%","0.6%"
"Jun-1996","0.7%","0.7%","0.8%","1.6%","1.2%","0.6%","1.5%","1.7%","1.3%","1.2%","0.5%","0.6%"
"May-1996","0.7%","0.7%","0.8%","1.5%","1.2%","0.6%","1.4%","1.6%","1.2%","1.2%","0.5%","0.6%"
"Apr-1996","0.7%","0.7%","0.8%","1.5%","1.2%","0.6%","1.4%","1.7%","1.2%","1.1%","0.5%","0.6%"
"Mar-1996","0.8%","0.7%","0.8%","1.5%","1.2%","0.6%","1.4%","1.7%","1.3%","1.1%","0.5%","0.6%"
"Feb-1996","0.8%","0.7%","0.8%","1.5%","1.1%","0.6%","1.4%","1.7%","1.3%","1.1%","0.5%","0.6%"
"Jan-1996","0.8%","0.7%","0.8%","1.6%","1.1%","0.6%","1.5%","1.7%","1.2%","1.0%","0.5%","0.7%"
"Dec-1995","0.8%","0.7%","0.8%","1.6%","1.1%","0.6%","1.5%","1.7%","1.3%","1.0%","0.5%","0.7%"
"Nov-1995","0.8%","0.7%","0.8%","1.7%","1.2%","0.6%","1.5%","1.8%","1.3%","1.1%","0.5%","0.7%"
"Oct-1995","0.8%","0.7%","0.8%","1.7%","1.2%","0.6%","1.6%","1.8%","1.3%","1.1%","0.5%","0.7%"
"Sep-1995","0.8%","0.7%","0.9%","1.7%","1.2%","0.6%","1.6%","1.8%","1.4%","1.1%","0.5%","0.7%"
"Aug-1995","0.8%","0.7%","0.9%","1.7%","1.2%","0.6%","1.6%","1.8%","1.4%","1.1%","0.5%","0.7%"
"Jul-1995","0.8%","0.7%","0.9%","1.7%","1.3%","0.6%","1.6%","1.8%","1.4%","1.2%","0.5%","0.7%"
"Jun-1995","0.8%","0.7%","0.9%","1.7%","1.3%","0.7%","1.6%","1.9%","1.5%","1.2%","0.5%","0.8%"
"May-1995","0.9%","0.8%","1.0%","1.8%","1.4%","0.7%","1.6%","1.9%","1.5%","1.3%","0.5%","0.8%"
"Apr-1995","0.9%","0.8%","1.0%","1.8%","1.4%","0.7%","1.7%","2.0%","1.5%","1.3%","0.5%","0.8%"
"Mar-1995","0.9%","0.8%","1.0%","1.8%","1.5%","0.7%","1.7%","2.0%","1.5%","1.4%","0.6%","0.8%"
"Feb-1995","0.9%","0.8%","1.0%","1.9%","1.5%","0.7%","1.7%","2.0%","1.5%","1.5%","0.6%","0.8%"
"Jan-1995","1.0%","0.8%","1.1%","1.9%","1.6%","0.7%","1.7%","2.1%","1.6%","1.5%","0.6%","0.9%"
"Dec-1994","1.0%","0.9%","1.1%","2.0%","1.6%","0.8%","1.8%","2.1%","1.6%","1.6%","0.6%","0.9%"
"Nov-1994","1.0%","0.9%","1.1%","2.0%","1.6%","0.8%","1.8%","2.2%","1.6%","1.6%","0.6%","0.9%"
"Oct-1994","1.0%","0.9%","1.2%","2.0%","1.6%","0.8%","1.8%","2.3%","1.6%","1.6%","0.7%","0.9%"
"Sep-1994","1.1%","0.9%","1.2%","2.0%","1.6%","0.8%","1.8%","2.4%","1.6%","1.6%","0.7%","1.0%"
"Aug-1994","1.1%","0.9%","1.2%","2.1%","1.6%","0.8%","1.8%","2.4%","1.6%","1.6%","0.7%","1.0%"
"Jul-1994","1.1%","0.9%","1.2%","2.1%","1.6%","0.9%","1.8%","2.4%","1.6%","1.6%","0.7%","1.0%"
"Jun-1994","1.1%","1.0%","1.2%","2.1%","1.6%","0.9%","1.8%","2.4%","1.6%","1.6%","0.7%","1.0%"
"May-1994","1.1%","1.0%","1.3%","2.1%","1.6%","0.9%","1.8%","2.4%","1.5%","1.6%","0.8%","1.0%"
"Apr-1994","1.1%","1.0%","1.3%","2.1%","1.6%","0.9%","1.8%","2.4%","1.5%","1.7%","0.8%","1.0%"
